Discipline,Specialty,Year,OutDiscRef,OutDiscCit
Arts,Fine Arts & Architecture,1975,0.55,0.3
Arts,Fine Arts & Architecture,1976,0.59,0.42
Arts,Fine Arts & Architecture,1977,0.5,0.43
Arts,Fine Arts & Architecture,1978,0.46,0.44
Arts,Fine Arts & Architecture,1979,0.39,0.36
Arts,Fine Arts & Architecture,1980,0.36,0.51
Arts,Fine Arts & Architecture,1981,0.37,0.48
Arts,Fine Arts & Architecture,1982,0.33,0.52
Arts,Fine Arts & Architecture,1983,0.41,0.56
Arts,Fine Arts & Architecture,1984,0.39,0.48
Arts,Fine Arts & Architecture,1985,0.38,0.63
Arts,Fine Arts & Architecture,1986,0.39,0.51
Arts,Fine Arts & Architecture,1987,0.38,0.51
Arts,Fine Arts & Architecture,1988,0.4,0.54
Arts,Fine Arts & Architecture,1989,0.35,0.63
Arts,Fine Arts & Architecture,1990,0.42,0.59
Arts,Fine Arts & Architecture,1991,0.44,0.68
Arts,Fine Arts & Architecture,1992,0.4,0.62
Arts,Fine Arts & Architecture,1993,0.54,0.58
Arts,Fine Arts & Architecture,1994,0.47,0.65
Arts,Fine Arts & Architecture,1995,0.49,0.63
Arts,Fine Arts & Architecture,1996,0.44,0.64
Arts,Fine Arts & Architecture,1997,0.47,0.62
Arts,Fine Arts & Architecture,1998,0.42,0.65
Arts,Fine Arts & Architecture,1999,0.43,0.6
Arts,Fine Arts & Architecture,2000,0.57,0.73
Arts,Fine Arts & Architecture,2001,0.51,0.66
Arts,Fine Arts & Architecture,2002,0.43,0.71
Arts,Fine Arts & Architecture,2003,0.5,0.73
Arts,Fine Arts & Architecture,2004,0.55,0.75
Arts,Fine Arts & Architecture,2005,0.57,0.68
Arts,Fine Arts & Architecture,2006,0.57,0.72
Arts,Fine Arts & Architecture,2007,0.64,0.68
Arts,Fine Arts & Architecture,2008,0.7,0.71
Arts,Fine Arts & Architecture,2009,0.72,0.69
Arts,Fine Arts & Architecture,2010,0.71,0.64
Arts,Fine Arts & Architecture,2011,0.72,0.66
Arts,Fine Arts & Architecture,2012,0.73,0.66
Arts,Fine Arts & Architecture,2013,0.76,0.73
Arts,Fine Arts & Architecture,2014,0.76,0.67
Arts,Performing Arts,1969,0.74,0.42
Arts,Performing Arts,1974,0.72,0.31
Arts,Performing Arts,1975,0.77,0.21
Arts,Performing Arts,1976,0.61,0.25
Arts,Performing Arts,1977,0.63,0.27
Arts,Performing Arts,1978,0.63,0.23
Arts,Performing Arts,1979,0.58,0.22
Arts,Performing Arts,1980,0.48,0.21
Arts,Performing Arts,1981,0.49,0.21
Arts,Performing Arts,1982,0.54,0.25
Arts,Performing Arts,1983,0.43,0.23
Arts,Performing Arts,1984,0.39,0.26
Arts,Performing Arts,1985,0.46,0.27
Arts,Performing Arts,1986,0.4,0.3
Arts,Performing Arts,1987,0.38,0.25
Arts,Performing Arts,1988,0.36,0.35
Arts,Performing Arts,1989,0.32,0.28
Arts,Performing Arts,1990,0.41,0.3
Arts,Performing Arts,1991,0.31,0.28
Arts,Performing Arts,1992,0.4,0.29
Arts,Performing Arts,1993,0.38,0.32
Arts,Performing Arts,1994,0.43,0.37
Arts,Performing Arts,1995,0.36,0.38
Arts,Performing Arts,1996,0.4,0.37
Arts,Performing Arts,1997,0.38,0.33
Arts,Performing Arts,1998,0.38,0.37
Arts,Performing Arts,1999,0.48,0.41
Arts,Performing Arts,2000,0.41,0.44
Arts,Performing Arts,2001,0.48,0.45
Arts,Performing Arts,2002,0.45,0.43
Arts,Performing Arts,2003,0.5,0.46
Arts,Performing Arts,2004,0.49,0.45
Arts,Performing Arts,2005,0.46,0.42
Arts,Performing Arts,2006,0.46,0.42
Arts,Performing Arts,2007,0.53,0.42
Arts,Performing Arts,2008,0.45,0.47
Arts,Performing Arts,2009,0.64,0.4
Arts,Performing Arts,2010,0.55,0.41
Arts,Performing Arts,2011,0.58,0.43
Arts,Performing Arts,2012,0.54,0.41
Arts,Performing Arts,2013,0.54,0.4
Arts,Performing Arts,2014,0.58,0.38
Biology,Agricult & Food Science,1950,0.51,0.31
Biology,Agricult & Food Science,1951,0.51,0.29
Biology,Agricult & Food Science,1952,0.44,0.29
Biology,Agricult & Food Science,1953,0.53,0.31
Biology,Agricult & Food Science,1954,0.49,0.3
Biology,Agricult & Food Science,1955,0.53,0.31
Biology,Agricult & Food Science,1956,0.54,0.38
Biology,Agricult & Food Science,1957,0.56,0.34
Biology,Agricult & Food Science,1958,0.56,0.36
Biology,Agricult & Food Science,1959,0.56,0.33
Biology,Agricult & Food Science,1960,0.54,0.3
Biology,Agricult & Food Science,1961,0.57,0.31
Biology,Agricult & Food Science,1962,0.56,0.28
Biology,Agricult & Food Science,1963,0.54,0.29
Biology,Agricult & Food Science,1964,0.52,0.28
Biology,Agricult & Food Science,1965,0.53,0.26
Biology,Agricult & Food Science,1966,0.51,0.26
Biology,Agricult & Food Science,1967,0.49,0.25
Biology,Agricult & Food Science,1968,0.48,0.26
Biology,Agricult & Food Science,1969,0.47,0.27
Biology,Agricult & Food Science,1970,0.44,0.26
Biology,Agricult & Food Science,1971,0.44,0.27
Biology,Agricult & Food Science,1972,0.43,0.29
Biology,Agricult & Food Science,1973,0.44,0.29
Biology,Agricult & Food Science,1974,0.43,0.29
Biology,Agricult & Food Science,1975,0.42,0.3
Biology,Agricult & Food Science,1976,0.41,0.3
Biology,Agricult & Food Science,1977,0.42,0.31
Biology,Agricult & Food Science,1978,0.39,0.28
Biology,Agricult & Food Science,1979,0.4,0.29
Biology,Agricult & Food Science,1980,0.37,0.31
Biology,Agricult & Food Science,1981,0.38,0.3
Biology,Agricult & Food Science,1982,0.38,0.29
Biology,Agricult & Food Science,1983,0.37,0.3
Biology,Agricult & Food Science,1984,0.35,0.29
Biology,Agricult & Food Science,1985,0.35,0.29
Biology,Agricult & Food Science,1986,0.34,0.28
Biology,Agricult & Food Science,1987,0.35,0.29
Biology,Agricult & Food Science,1988,0.35,0.29
Biology,Agricult & Food Science,1989,0.33,0.29
Biology,Agricult & Food Science,1990,0.33,0.29
Biology,Agricult & Food Science,1991,0.34,0.3
Biology,Agricult & Food Science,1992,0.35,0.3
Biology,Agricult & Food Science,1993,0.34,0.3
Biology,Agricult & Food Science,1994,0.34,0.3
Biology,Agricult & Food Science,1995,0.35,0.32
Biology,Agricult & Food Science,1996,0.35,0.32
Biology,Agricult & Food Science,1997,0.35,0.32
Biology,Agricult & Food Science,1998,0.36,0.33
Biology,Agricult & Food Science,1999,0.37,0.34
Biology,Agricult & Food Science,2000,0.37,0.35
Biology,Agricult & Food Science,2001,0.37,0.36
Biology,Agricult & Food Science,2002,0.37,0.36
Biology,Agricult & Food Science,2003,0.37,0.36
Biology,Agricult & Food Science,2004,0.38,0.36
Biology,Agricult & Food Science,2005,0.4,0.38
Biology,Agricult & Food Science,2006,0.4,0.38
Biology,Agricult & Food Science,2007,0.41,0.38
Biology,Agricult & Food Science,2008,0.42,0.39
Biology,Agricult & Food Science,2009,0.41,0.39
Biology,Agricult & Food Science,2010,0.43,0.4
Biology,Agricult & Food Science,2011,0.42,0.41
Biology,Agricult & Food Science,2012,0.43,0.41
Biology,Agricult & Food Science,2013,0.43,0.41
Biology,Agricult & Food Science,2014,0.43,0.4
Biology,Botany,1950,0.4,0.27
Biology,Botany,1951,0.42,0.27
Biology,Botany,1952,0.41,0.27
Biology,Botany,1953,0.45,0.26
Biology,Botany,1954,0.4,0.27
Biology,Botany,1955,0.42,0.31
Biology,Botany,1956,0.46,0.27
Biology,Botany,1957,0.43,0.25
Biology,Botany,1958,0.44,0.26
Biology,Botany,1959,0.5,0.29
Biology,Botany,1960,0.47,0.25
Biology,Botany,1961,0.46,0.26
Biology,Botany,1962,0.48,0.26
Biology,Botany,1963,0.48,0.25
Biology,Botany,1964,0.48,0.25
Biology,Botany,1965,0.48,0.24
Biology,Botany,1966,0.5,0.25
Biology,Botany,1967,0.48,0.24
Biology,Botany,1968,0.47,0.25
Biology,Botany,1969,0.46,0.24
Biology,Botany,1970,0.46,0.25
Biology,Botany,1971,0.45,0.25
Biology,Botany,1972,0.44,0.25
Biology,Botany,1973,0.43,0.24
Biology,Botany,1974,0.42,0.23
Biology,Botany,1975,0.43,0.24
Biology,Botany,1976,0.41,0.24
Biology,Botany,1977,0.39,0.22
Biology,Botany,1978,0.38,0.23
Biology,Botany,1979,0.37,0.23
Biology,Botany,1980,0.36,0.24
Biology,Botany,1981,0.35,0.25
Biology,Botany,1982,0.34,0.24
Biology,Botany,1983,0.33,0.24
Biology,Botany,1984,0.33,0.24
Biology,Botany,1985,0.34,0.25
Biology,Botany,1986,0.34,0.25
Biology,Botany,1987,0.34,0.25
Biology,Botany,1988,0.36,0.26
Biology,Botany,1989,0.34,0.27
Biology,Botany,1990,0.35,0.27
Biology,Botany,1991,0.36,0.28
Biology,Botany,1992,0.35,0.28
Biology,Botany,1993,0.37,0.29
Biology,Botany,1994,0.37,0.29
Biology,Botany,1995,0.38,0.3
Biology,Botany,1996,0.36,0.31
Biology,Botany,1997,0.36,0.31
Biology,Botany,1998,0.37,0.32
Biology,Botany,1999,0.37,0.31
Biology,Botany,2000,0.37,0.32
Biology,Botany,2001,0.37,0.32
Biology,Botany,2002,0.38,0.34
Biology,Botany,2003,0.39,0.34
Biology,Botany,2004,0.4,0.35
Biology,Botany,2005,0.39,0.35
Biology,Botany,2006,0.39,0.35
Biology,Botany,2007,0.4,0.35
Biology,Botany,2008,0.41,0.37
Biology,Botany,2009,0.4,0.36
Biology,Botany,2010,0.4,0.37
Biology,Botany,2011,0.4,0.37
